id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
6018589,Charming Private Room,31241183,Lilian,Manhattan,Washington Heights,40.8371,-73.94112,Private room,65,2,41,2020-02-21,0.66,3,228
6019386,Boarding Room-style mini apartment/Harlem Oasis,31245355,Kiela,Manhattan,Harlem,40.80991,-73.94058,Entire home/apt,75,7,31,2020-01-01,0.50,1,89
6020044,Park Slope Bedroom,12154854,Ryan,Brooklyn,Gowanus,40.67092,-73.98997,Private room,35,1,0,,,1,0
6020382,Cozy Room in Brooklyn Brownstone,1511065,Mitra,Brooklyn,Bedford-Stuyvesant,40.6825,-73.94709,Private room,65,1,0,,,1,0
6026546,Beautiful Studio Steps from the Met,22613302,Brittany,Manhattan,Upper East Side,40.77793,-73.9602,Entire home/apt,170,5,2,2015-10-05,0.03,1,0
6027345,Super clean room in renovated historic brownstone,2881,Loli,Brooklyn,Bedford-Stuyvesant,40.68242,-73.94774,Private room,40,4,332,2020-08-07,5.16,2,263
6027485,1 bedroom in 3 bedroom apartment,31283971,Ana,Brooklyn,Bedford-Stuyvesant,40.68568,-73.95237,Private room,38,3,1,2017-12-31,0.03,1,0
6028165,BOHEMIAN CHIC* 1BR* OURDOOR AREA,31287099,Erin,Manhattan,Chinatown,40.71692,-73.99092,Entire home/apt,125,1,9,2019-12-29,0.16,1,0
6029987,Spacious & Trendy Uptown Apartment,15635060,Chris,Manhattan,Washington Heights,40.84305,-73.94045,Entire home/apt,100,2,10,2016-06-29,0.17,1,0
6031001,Private Room in Prime Williamsburg,30021924,Perry,Brooklyn,Williamsburg,40.71592,-73.95004,Private room,90,2,5,2019-12-08,0.08,1,365
6033449,COLUMBIA PRESBYTERIAN MED CTR *AURA* Studio Apt,25237492,Juliana,Manhattan,Washington Heights,40.84154,-73.93997,Entire home/apt,105,30,12,2020-01-09,0.21,34,190
6037761,Spacious Room in East Village Architect’s Home,7256281,Sne,Manhattan,East Village,40.72737,-73.98936,Private room,150,1,461,2020-03-18,7.11,1,310
6040757,Big & Bright w Terrace near park!,23713669,Vanessa & Martin,Brooklyn,Prospect Heights,40.67554,-73.96384,Entire home/apt,250,3,33,2019-12-29,0.52,1,47
6041875,Harlem 2bdr apt,30354475,Pepper,Manhattan,East Harlem,40.8124,-73.9347,Entire home/apt,150,2,0,,,1,0
6042335,In The Middle of It All!,17199564,Mark,Brooklyn,Boerum Hill,40.68686,-73.98231,Entire home/apt,169,10,2,2015-10-12,0.03,1,0
6042555,"Share the Safe, Clean & Convenient Apartment",31359030,Sue,Queens,Astoria,40.77252,-73.9269,Shared room,1900,4,73,2018-06-18,1.13,1,363
6042635,Spacious Studio,31358851,Mo,Manhattan,Washington Heights,40.85882,-73.92897,Entire home/apt,65,4,45,2020-02-19,0.73,1,351
6043199,Big Room in Central BK Neighborhood,9745447,Clara,Brooklyn,Bedford-Stuyvesant,40.68915,-73.95116,Private room,60,1,11,2017-10-08,0.23,1,0
6043671,HEART of Manhattan,16458904,Margaret,Manhattan,Murray Hill,40.74725,-73.97431,Entire home/apt,168,30,12,2017-05-30,0.20,1,89
6044268,Family summer on the Hudson - 1 wk. min. 8/16-9/4,6657363,Amy,Manhattan,Battery Park City,40.71111,-74.01567,Entire home/apt,195,7,0,,,1,0
6044964,Beach Lovers Dream!,31204745,Monika,Queens,Arverne,40.58921,-73.79479,Entire home/apt,208,2,202,2020-08-14,3.18,1,333
6045917,Perfect Private Room for 1 or 2 per,31376201,William,Queens,Kew Gardens,40.70664,-73.83395,Private room,150,1,0,,,3,365
6046877,Private room in queens New York,31376201,William,Queens,Kew Gardens,40.7064,-73.83327,Private room,150,1,0,,,3,363
6048412,Partially Furnished 3BR - UES,11884842,David,Manhattan,Upper East Side,40.77727,-73.95089,Entire home/apt,150,2,0,,,1,0
