Date,SPY_Open,SPY_High,SPY_Low,SPY_Close,Actual,Predicted,Probability_Up,Probability_Down
2019-10-31,304.1300048828125,304.1300048828125,301.7300109863281,303.3299865722656,1,1,0.7584307789802551,0.24156922101974487
2019-11-01,304.9200134277344,306.19000244140625,304.739990234375,306.1400146484375,1,1,0.6726453304290771,0.32735466957092285
2019-11-04,307.8500061035156,308.0,306.9599914550781,307.3699951171875,0,1,0.8344579339027405,0.16554206609725952
2019-11-05,307.5899963378906,307.9200134277344,306.7099914550781,307.0299987792969,1,1,0.6876702308654785,0.3123297691345215
2019-11-06,307.0299987792969,307.3999938964844,306.0599975585937,307.1000061035156,1,1,0.8448000550270081,0.15519994497299194
2019-11-07,308.57000732421875,309.6499938964844,307.6600036621094,308.17999267578125,1,1,0.6584282517433167,0.34157174825668335
2019-11-08,307.79998779296875,309.0,307.0299987792969,308.94000244140625,0,1,0.7038118243217468,0.2961881756782532
2019-11-11,307.4200134277344,308.5400085449219,307.2699890136719,308.3500061035156,1,1,0.6674627661705017,0.3325372338294983
2019-11-12,308.75,309.989990234375,308.1499938964844,309.0,1,1,0.7570125460624695,0.24298745393753052
2019-11-13,307.9100036621094,309.5400085449219,307.6600036621094,309.1000061035156,1,1,0.8438865542411804,0.15611344575881958
2019-11-14,308.7900085449219,309.6400146484375,308.0899963378906,309.54998779296875,1,1,0.8748199343681335,0.12518006563186646
2019-11-15,311.0199890136719,311.8399963378906,310.260009765625,311.7900085449219,1,1,0.6889895796775818,0.3110104203224182
2019-11-18,311.5299987792969,312.2799987792969,311.0299987792969,312.0199890136719,0,1,0.7990978360176086,0.20090216398239136
2019-11-19,312.67999267578125,312.69000244140625,311.2200012207031,311.92999267578125,0,1,0.8602858781814575,0.13971412181854248
2019-11-20,311.2799987792969,311.8500061035156,309.0599975585937,310.7699890136719,0,1,0.8288772106170654,0.17112278938293457
2019-11-21,310.8900146484375,311.010009765625,309.3900146484375,310.2699890136719,1,1,0.8348523378372192,0.16514766216278076
2019-11-22,311.0899963378906,311.239990234375,309.8500061035156,310.9599914550781,1,1,0.8732479214668274,0.1267520785331726
2019-11-25,311.9800109863281,313.3699951171875,311.9800109863281,313.3699951171875,1,1,0.7923726439476013,0.20762735605239868
2019-11-26,313.4100036621094,314.2799987792969,313.0599975585937,314.0799865722656,1,1,0.821567714214325,0.17843228578567505
2019-11-27,314.6099853515625,315.4800109863281,314.3699951171875,315.4800109863281,0,1,0.7705063819885254,0.2294936180114746
2019-11-29,314.8599853515625,315.1300048828125,314.0599975585937,314.3099975585937,0,1,0.834082841873169,0.16591715812683105
2019-12-02,314.5899963378906,314.6600036621094,311.1700134277344,311.6400146484375,0,1,0.7145786881446838,0.28542131185531616
2019-12-03,308.6499938964844,309.6400146484375,307.1300048828125,309.54998779296875,1,1,0.8551755547523499,0.14482444524765015
2019-12-04,310.70001220703125,312.1199951171875,310.32000732421875,311.4599914550781,1,1,0.7431047558784485,0.2568952441215515
2019-12-05,312.2300109863281,312.25,310.5799865722656,312.0199890136719,1,1,0.798309862613678,0.20169013738632202
2019-12-06,314.1199951171875,315.3099975585937,314.1099853515625,314.8699951171875,0,1,0.7584487199783325,0.24155128002166748
2019-12-09,314.44000244140625,315.17999267578125,313.79998779296875,313.8800048828125,0,1,0.8157302141189575,0.18426978588104248
2019-12-10,313.82000732421875,314.54998779296875,312.8099975585937,313.5299987792969,1,1,0.7723144292831421,0.2276855707168579
2019-12-11,314.0299987792969,314.70001220703125,313.44000244140625,314.4200134277344,1,1,0.8344139456748962,0.16558605432510376
2019-12-12,314.42999267578125,317.989990234375,314.1700134277344,317.1300048828125,1,1,0.8643977642059326,0.13560223579406738
2019-12-13,316.8699951171875,318.6700134277344,316.0199890136719,317.32000732421875,1,1,0.7760381698608398,0.22396183013916016
2019-12-16,319.2200012207031,320.1499938964844,317.25,319.5,1,1,0.7706156373023987,0.22938436269760132
2019-12-17,319.9200134277344,320.25,319.4800109863281,319.57000732421875,1,1,0.679074764251709,0.320925235748291
2019-12-18,320.0,320.25,319.5299987792969,319.5899963378906,1,1,0.6729885935783386,0.3270114064216614
2019-12-19,319.79998779296875,320.9800109863281,319.5199890136719,320.8999938964844,0,1,0.7369585633277893,0.2630414366722107
2019-12-20,320.4599914550781,321.9700012207031,319.3900146484375,320.7300109863281,1,1,0.755759596824646,0.244240403175354
2019-12-23,321.5899963378906,321.6499938964844,321.0599975585937,321.2200012207031,1,1,0.7232488989830017,0.2767511010169983
2019-12-24,321.4700012207031,321.5199890136719,320.8999938964844,321.2300109863281,1,1,0.8111756443977356,0.1888243556022644
2019-12-26,321.6499938964844,322.95001220703125,321.6400146484375,322.94000244140625,0,1,0.7349196672439575,0.2650803327560425
2019-12-27,323.739990234375,323.79998779296875,322.2799987792969,322.8599853515625,0,1,0.7798900604248047,0.2201099395751953
2019-12-30,322.95001220703125,323.1000061035156,320.54998779296875,321.0799865722656,1,1,0.772781491279602,0.22721850872039795
2019-12-31,320.5299987792969,322.1300048828125,320.1499938964844,321.8599853515625,1,1,0.8919895887374878,0.10801041126251221
2020-01-02,323.5400085449219,324.8900146484375,322.5299987792969,324.8699951171875,0,1,0.8606083989143372,0.13939160108566284
2020-01-03,321.1600036621094,323.6400146484375,321.1000061035156,322.4100036621094,1,1,0.8691210746765137,0.13087892532348633
2020-01-06,320.489990234375,323.7300109863281,320.3599853515625,323.6400146484375,0,1,0.8924434781074524,0.10755652189254761
2020-01-07,323.0199890136719,323.5400085449219,322.239990234375,322.7300109863281,1,1,0.8127732276916504,0.1872267723083496
2020-01-08,322.94000244140625,325.7799987792969,322.6700134277344,324.45001220703125,1,1,0.8180783987045288,0.1819216012954712
2020-01-09,326.1600036621094,326.7300109863281,325.5199890136719,326.6499938964844,0,1,0.7283379435539246,0.27166205644607544
2020-01-10,327.2900085449219,327.4599914550781,325.20001220703125,325.7099914550781,1,1,0.7953733801841736,0.20462661981582642
2020-01-13,326.3900146484375,327.9599914550781,325.9200134277344,327.95001220703125,0,1,0.8063347935676575,0.19366520643234253
2020-01-14,327.4700012207031,328.6199951171875,326.8399963378906,327.45001220703125,1,1,0.8354653120040894,0.16453468799591064
2020-01-15,327.3500061035156,329.0199890136719,327.260009765625,328.19000244140625,1,1,0.7932305932044983,0.2067694067955017
2020-01-16,329.70001220703125,330.9200134277344,329.45001220703125,330.9200134277344,1,1,0.6216980814933777,0.3783019185066223
2020-01-17,331.70001220703125,332.17999267578125,330.8500061035156,331.95001220703125,0,1,0.5992984771728516,0.40070152282714844
2020-01-21,330.8999938964844,332.17999267578125,330.82000732421875,331.29998779296875,1,1,0.7796875834465027,0.22031241655349731
2020-01-22,332.239990234375,332.95001220703125,331.1700134277344,331.3399963378906,1,1,0.815808892250061,0.18419110774993896
2020-01-23,330.6300048828125,332.1700134277344,329.4100036621094,331.7200012207031,0,1,0.8794841766357422,0.12051582336425781
2020-01-24,332.44000244140625,332.5299987792969,327.3599853515625,328.7699890136719,0,1,0.7670667171478271,0.23293328285217285
2020-01-27,323.0299987792969,325.1199951171875,322.6600036621094,323.5,1,1,0.8262298703193665,0.17377012968063354
2020-01-28,325.0599975585937,327.8500061035156,323.6000061035156,326.8900146484375,0,1,0.7619702219963074,0.23802977800369263
2020-01-29,328.3800048828125,328.6300048828125,326.3999938964844,326.6199951171875,1,1,0.7753153443336487,0.22468465566635132
2020-01-30,324.3599853515625,327.9100036621094,323.5400085449219,327.67999267578125,0,1,0.7420353293418884,0.2579646706581116
2020-01-31,327.0,327.1700134277344,320.7300109863281,321.7300109863281,1,1,0.8257174491882324,0.17428255081176758
2020-02-03,323.3500061035156,326.1600036621094,323.2200012207031,324.1199951171875,1,1,0.6354370713233948,0.3645629286766052
2020-02-04,328.07000732421875,330.010009765625,327.7200012207031,329.0599975585937,1,1,0.7126038670539856,0.2873961329460144
2020-02-05,332.2699890136719,333.0899963378906,330.6700134277344,332.8599853515625,1,1,0.7895581126213074,0.21044188737869263
2020-02-06,333.9100036621094,334.19000244140625,332.79998779296875,333.9800109863281,0,1,0.8486942648887634,0.15130573511123657
2020-02-07,332.82000732421875,333.989990234375,331.6000061035156,332.20001220703125,1,1,0.8423882722854614,0.15761172771453857
2020-02-10,331.2300109863281,334.75,331.19000244140625,334.67999267578125,1,1,0.8320306539535522,0.16796934604644775
2020-02-11,336.1600036621094,337.0199890136719,334.67999267578125,335.260009765625,1,1,0.7743657231330872,0.22563427686691284
