Price,Adj Close,Close,High,Low,Open,Volume
Ticker,DX-Y.NYB,DX-Y.NYB,DX-Y.NYB,DX-Y.NYB,DX-Y.NYB,DX-Y.NYB
Date,,,,,,
2024-11-19 00:00:00+00:00,106.20999908447266,106.20999908447266,106.62999725341797,106.11000061035156,106.26000213623047,0
